Title,Year,Month,Day,Hour
ibm planning analytics delivers continuous integration with watson,2021,6,3,15
major changes: where analytics  data science  machine learning were applied in 2020/21,2021,6,18,16
how to land a data analytics job in 6 months,2021,6,17,16
w. edwards deming’s contributions to the practice of analytics,2021,5,10,8
profiles in analytics: frank knight,2021,3,15,0
do you need a grand strategy in analytics?,2020,9,10,10
timescale scales out and sets its sights on analytics,2021,6,17,12
a closer look at google’s spring data and analytics rollouts,2021,5,26,13
robotic process automation + analytics,2016,3,20,19
analytics and ml use case –  robo-advisors in wealth management,2016,3,3,17
customer journey analytics and data science,2015,9,4,20
my videos for “business analytics using data mining” now publicly available!,2017,9,5,14
predictive analytics in the long term,2015,12,7,9
"teaching spaces: ""analytics in a studio""",2015,2,7,6
humane and socially responsible analytics: a new concentration at national tsing hua university,2014,9,26,10
a tale of two (business analytics) courses,2013,11,5,6
data science book: profit driven business analytics,2018,5,28,19
creating value with big data analytics (book review),2018,3,19,21
data analytics for internal audit,2017,11,12,20
how to get a job in data science and analytics (episode #1),2021,3,15,13
data analytics certification: do you need a certificate to get a job as a data analyst?,2021,3,18,16
11 high-paying data analytics jobs in 2020,2020,9,10,14
updated online chinese document analytics tool,2021,1,13,3
from hype to reality – powering the ai-driven future of insurance at insurance ai and analytics usa - by ira sopic,2019,3,7,22
predictive analytics world for industry 4.0,2019,1,15,17
analytics & ai in travel north america,2019,1,8,13
how mature is your advanced analytics program?,2018,6,20,4
the predictive analytics conundrum,2018,6,12,8
3 best practices for becoming more self-sufficient with self-service analytics,2018,2,6,14
advanced analytics: what’s ahead for 2018,2018,1,15,17
achieving analytics maturity:   3 tips from the experts,2015,2,6,15
next-generation analytics: four findings from tdwi’s latest best practices report,2015,1,30,17
q&a: predictive analytics,2016,10,24,12
2017 international symposium on energy analytics,2016,6,3,2
monash business analytics team profile,2016,3,9,7
acems business analytics prize 2016,2016,1,20,5
questions on the business analytics jobs,2014,5,13,2
new jobs in business analytics at monash,2014,5,4,12
ibm planning analytics delivers continuous integration with watson,2021,6,3,15
decision-driven data analytics,2021,1,4,19
data science positions for sports analytics,2016,1,2,3
kdd 2015 workshop on large-scale sports analytics,2015,4,9,17
large-scale sports analytics workshop (kdd 2014),2014,5,22,15
a firm foundation for modernized bi & analytics,2017,6,28,16
how can i make search and analytics easier for my staff?,2021,6,16,6
tally erp analytics: providing a comprehensive picture of business!,2021,6,9,9
clickless analytics is the future of business user analytics!,2021,6,8,12
digital transformation (dx) requires augmented analytics technology to support business users!,2021,6,2,11
ecommerce analytics is mandatory to business success!,2021,5,27,12
ease of use for augmented analytics is key!,2021,5,20,20
ibm spss and entity analytics at work,2018,4,29,14
watson analytics  spss modeler and esri arcgis,2018,3,1,17
