Title,Year,Month,Day,Hour
efficiency in deep learning  part 1,2021,6,18,14
how to speed up a deep learning language model by almost 50x at half the cost,2021,6,9,17
the academic tip: what is deep learning?,2017,10,21,18
deep learning world,2019,1,15,17
registration is open - deep learning autumn school at bar ilan university,2019,9,25,11
hacking deep learning (bar ilan) workshop videos,2019,2,19,12
prof. joseph keshet from biu fools deep learning,2017,9,8,17
deepgram - audio search with deep learning,2017,9,5,4
deep learning for cancer research,2017,1,27,1
amazing deep learning visualization,2017,1,25,23
cryptonets: scoring deep learning on encrypted data,2017,1,17,6
virtual workshop: conceptual understanding of deep learning (may 17th 9am-4pm pst),2021,4,28,5
a brief overview of deep learning,2015,1,14,6
why you should optimize your deep learning inference platform,2021,5,13,14
building a data store for unstructured data and deep learning applications,2021,4,22,14
