Title,Year,Month,Day,Hour
bagging exponential smoothing methods using stl decomposition and box-cox transformation,2016,4,28,23
exponential smoothing and regressors,2012,2,28,10
forecasting time series with complex seasonal patterns using exponential smoothing,2011,12,31,2
forecasting with exponential smoothing: the state space approach,2010,7,6,12
exponential smoothing and non-negative data,2009,11,25,23
the admissible parameter space for exponential smoothing models,2008,6,16,6
exponential smoothing and non-negative data,2008,6,15,7
a state space model for exponential smoothing with group seasonality,2007,5,29,1
prediction intervals for exponential smoothing using two new classes of state space models,2005,1,16,3
exponential smoothing models: means and variances for lead-time demand,2004,5,16,3
a state space framework for automatic forecasting using exponential smoothing methods,2002,7,16,3
