Title,Year,Month,Day,Hour
data manipulation using pandas | essential functionalities of pandas you need to know!,2021,6,18,10
seasonal functional autoregressive models,2019,8,17,0
using ggplot2 for functional time series,2018,12,12,0
data visualization for functional time series,2018,12,11,0
seasonal functional autoregressive models,2018,12,9,0
grouped functional time series forecasting: an application to age-specific mortality rates,2017,4,25,0
long-term forecasts of age-specific participation rates with functional data models,2016,1,24,6
functional time series with applications in demography,2014,6,24,2
low-dimensional decomposition  smoothing and forecasting of sparse functional data,2014,6,5,3
common functional principal component models for mortality forecasting,2014,5,24,1
coherent mortality forecasting using functional time series,2013,10,11,5
coherent mortality forecasting: the product-ratio method with functional time series models,2013,2,1,7
demographic forecasting using functional data analysis,2010,9,7,11
exploratory graphics for functional data,2010,8,3,8
coherent functional forecasts of mortality rates and life expectancy,2010,6,9,4
rainbow plots  bagplots and boxplots for functional data,2010,2,28,23
functionalization of microarray devices: process optimization using a multiobjective pso and multiresponse mars modeling,2010,2,7,23
using functional data analysis models to estimate future time trends of age-specific breast cancer mortality for the united states and england-wales,2010,2,5,23
forecasting functional time series,2009,7,23,23
stochastic population forecasts using functional data models for mortality  fertility and migration,2008,7,16,5
bagplots  boxplots and outlier detection for functional data,2008,6,19,3
bagplots  boxplots and outlier detection for functional data,2008,5,15,3
forecasting functional time series,2008,2,22,7
robust forecasting of mortality and fertility rates: a functional data approach,2007,7,16,5
stochastic population forecasts using functional data models,2007,2,22,8
forecasting age-specific breast cancer mortality using functional data models,2007,2,16,5
robust forecasting of mortality and fertility rates: a functional data approach,2005,4,16,1
