Title,Year,Month,Day,Hour
gradient flow snapshot #59: from cloud → sky computing; automation in dataops; top technology trends,2021,6,18,14
gradient flow snapshot #58: delta live tables; knowledge graphs; data portability,2021,6,11,14
gradient flow snapshot #57: monitoring machine learning models; greykite for time-series forecasting,2021,6,4,14
gradient flow snapshot #56: airflow + ray; data warehouse → lakehouse; csv file → knowledge graph,2021,5,28,14
gradient flow snapshot #55: reinforcement learning in the enterprise  knowledge graphs in finance,2021,5,21,14
gradient flow snapshot #54: nlp index and getting read for new ai regulations,2021,5,14,14
gradient flow snapshot #53: data validation for machine learning; modernizing data governance,2021,5,7,14
gradient flow snapshot #52: data integration; language benchmarks; online resource allocation with ray,2021,4,30,14
gradient flow snapshot #51: what is dataops; 2021 technology radar,2021,4,23,14
gradient flow snapshot #50: data engineering jobs in the u.s; algorithms that make instacart roll,2021,4,16,14
gradient flow snapshot #49: data cascades; exploiting ml models; prisma migrate,2021,4,9,16
