Title,Year,Month,Day,Hour
monash time series forecasting archive,2021,5,17,0
nonlinear mixed effects models for time series forecasting of smart meter demand,2021,1,1,0
a brief history of time series forecasting competitions,2018,4,11,0
exploring the sources of uncertainty: why does bagging for time series forecasting work?,2018,2,4,0
grouped functional time series forecasting: an application to age-specific mortality rates,2017,4,25,0
automatic algorithms for time series forecasting,2015,6,24,23
probabilistic time series forecasting with boosted additive models: an application to smart meter data,2015,6,4,11
automatic time series forecasting,2014,2,13,1
automatic time series forecasting in granada,2014,1,31,3
advances in automatic time series forecasting,2012,6,19,8
nonparametric time series forecasting with dynamic updating,2011,2,17,1
nonparametric time series forecasting with dynamic updating,2009,7,12,23
automatic time series forecasting: the forecast package for r,2008,7,16,5
25 years of time series forecasting,2006,7,16,4
automatic time series forecasting,2006,6,26,8
empirical information criteria for time series forecasting model selection,2005,10,16,3
time series forecasting: the case for the single source of error state space approach,2005,4,2,1
gradient flow snapshot #57: monitoring machine learning models; greykite for time-series forecasting,2021,6,4,14
