Title,Year,Month,Day,Hour
time series analysis with generalized additive models,2017,4,4,3
forecasting large collections of time series,2018,12,10,10
monash time series forecasting archive,2021,5,17,0
time series cross-validation using fable,2021,5,16,0
principles and algorithms for forecasting groups of time series: locality and globality,2021,5,10,0
nonlinear mixed effects models for time series forecasting of smart meter demand,2021,1,1,0
modern strategies for time series regression,2020,11,2,0
model selection in reconciling hierarchical time series,2020,10,21,0
distributed arima models for ultra-long time series,2020,7,21,0
gratis: generating time series with diverse and controllable characteristics,2020,4,30,0
tidy time series & forecasting in r,2020,1,27,0
abs time series as tsibbles,2020,1,24,0
machine learning applications in time series hierarchical forecasting,2019,12,8,0
feature-based time series analysis,2019,9,27,0
tidy time series analysis in r,2019,9,27,0
tidy time series analysis in r,2019,9,26,0
feature-based time series analysis,2019,9,16,0
time series graphics using feasts,2019,8,30,0
tidy time series data using tsibbles,2019,8,29,0
high-dimensional time series analysis,2019,8,17,0
a feast of time series tools,2019,6,19,0
optimal forecast reconciliation for hierarchical and grouped time series through trace minimization,2019,6,14,0
time series data library,2019,3,3,0
feature-based forecasting algorithms for large collections of time series,2019,1,25,0
using ggplot2 for functional time series,2018,12,12,0
data visualization for functional time series,2018,12,11,0
high-dimensional time series analysis,2018,12,5,0
feature-based time series analysis,2018,11,26,0
seasonal decomposition of short time series,2018,7,14,0
feature-based time series analysis,2018,6,21,0
meta-learning how to forecast time series,2018,6,6,0
a brief history of time series forecasting competitions,2018,4,11,0
high dimensional time series analysis,2018,4,9,0
exploring the sources of uncertainty: why does bagging for time series forecasting work?,2018,2,4,0
a note on the validity of cross-validation for evaluating autoregressive time series prediction,2018,1,1,0
some new time series packages,2017,11,29,0
high dimensional time series analysis,2017,11,1,0
analysing sub-daily time series data,2017,10,12,0
high-dimensional time series,2017,9,21,0
biggish time series data,2017,8,25,0
visualizing and forecasting big time series data,2017,8,11,0
coherent probabilistic forecasts for hierarchical time series,2017,6,2,0
time series in r: forecasting and visualisation,2017,5,29,0
grouped functional time series forecasting: an application to age-specific mortality rates,2017,4,25,0
visualising forecasting algorithm performance using time series instance spaces,2017,1,12,21
cross-validation for time series,2016,12,5,12
eindhoven seminar on time series visualization,2016,9,27,8
forecasting large collections of related time series,2016,9,15,0
tourism time series repository,2016,8,10,8
exploring time series collections used for forecast evaluation,2016,6,20,11
fast computation of reconciled forecasts for hierarchical and grouped time series,2016,1,31,22
forecasting big time series data using r,2015,10,24,23
optimal forecast reconciliation for big time series data,2015,10,6,5
google workshop: forecasting and visualizing big time series data,2015,10,5,6
exploring the feature space of large collections of time series,2015,6,29,23
automatic algorithms for time series forecasting,2015,6,24,23
probabilistic time series forecasting with boosted additive models: an application to smart meter data,2015,6,4,11
large-scale unusual time series detection,2015,6,1,2
a new r package for detecting unusual time series,2015,5,31,5
visualization of big time series data,2015,5,26,3
a new open source data set for detecting time series outliers,2015,4,1,2
visualization and forecasting of big time series data,2015,2,23,1
visualizing and forecasting big time series data,2015,1,12,15
fast computation of reconciled forecasts in hierarchical and grouped time series,2014,7,1,6
functional time series with applications in demography,2014,6,24,2
specifying complicated groups of time series in hts,2014,6,15,3
fitting models to short time series,2014,3,4,2
fitting models to long time series,2014,3,1,6
automatic time series forecasting,2014,2,13,1
automatic time series forecasting in granada,2014,1,31,3
estimating a nonlinear time series model in r,2014,1,21,4
coherent mortality forecasting using functional time series,2013,10,11,5
forecasting hierarchical time series,2013,10,10,5
r tools for hierarchical time series,2013,7,3,20
coherent mortality forecasting: the product-ratio method with functional time series models,2013,2,1,7
multivariate time series modelling and forecasting workshop,2012,9,3,6
advances in automatic time series forecasting,2012,6,19,8
measuring time series characteristics,2012,5,2,7
forecasting time series with complex seasonal patterns using exponential smoothing,2011,12,31,2
forecasting time series using r,2011,12,16,2
cyclic and seasonal time series,2011,12,14,5
forecasting time series using r,2011,10,27,4
time series cross-validation: an r example,2011,8,26,5
optimal combination forecasts for hierarchical time series,2011,3,15,23
nonparametric time series forecasting with dynamic updating,2011,2,17,1
the vector innovations structural time series framework: a simple approach to multivariate forecasting,2010,11,15,23
phenological change detection while accounting for abrupt and gradual trends in satellite image time series,2010,8,17,8
detecting trend and seasonal changes in satellite image time series,2010,1,14,23
forecasting functional time series,2009,7,23,23
nonparametric time series forecasting with dynamic updating,2009,7,12,23
rule induction for forecasting method selection: meta-learning the characteristics of univariate time series,2009,1,16,23
forecasting time series with multiple seasonal patterns,2008,11,16,5
time series packages on r,2008,10,16,8
automatic time series forecasting: the forecast package for r,2008,7,16,5
time series and forecasting in r,2008,6,29,4
forecasting and time series books,2008,4,28,7
forecasting functional time series,2008,2,22,7
25 years of time series forecasting,2006,7,16,4
automatic time series forecasting,2006,6,26,8
optimal combination forecasts for hierarchical time series,2006,6,20,7
characteristic-based clustering for time series data,2006,5,16,5
empirical information criteria for time series forecasting model selection,2005,10,16,3
dimension reduction for clustering time series using global characteristics,2005,5,22,1
time series forecasting: the case for the single source of error state space approach,2005,4,2,1
data visualization for time series in environmental epidemiology,2001,8,16,3
residual diagnostic plots for model mis-specification in time series regression,2000,11,16,3
nonparametric additive regression models for binary time series,1999,7,7,0
smoothing non-gaussian time series with autoregressive structure,1998,7,16,3
some properties and generalizations of non-negative bayesian time series models,1997,7,16,2
highest density forecast regions for non-linear and non-normal time series models,1995,7,16,2
paris machine learning meetup #1 season 7: neuroscience & ai  time series  deep transfert learning in nlp  media campaign  energy forecasting,2019,11,13,14
measuring the memory of time series data,2016,11,30,18
