Title,Year,Month,Day,Hour
exciting upcoming workshops ahead!,2021,6,16,10
data science workshop  epfl  june 4-6th,2018,5,11,20
mlise 2021 @ pkdd 2021 – a new workshop!,2021,4,14,15
acems forecasting workshop,2018,7,26,0
2017 beijing workshop on forecasting,2017,11,18,0
2017 beijing workshop on forecasting,2017,11,1,0
forecasting workshop in perth,2017,7,30,0
call for forecasting workshops in cairns  australia,2016,9,28,15
google workshop: forecasting and visualizing big time series data,2015,10,5,6
iif sponsored workshops,2014,10,6,22
multivariate time series modelling and forecasting workshop,2012,9,3,6
six places left for the forecasting workshop,2011,1,11,0
forecasting workshop: switzerland  june 2011,2010,12,6,8
research supervision workshop,2009,8,26,6
latex workshop,2008,6,6,0
r workshop,2008,3,28,7
hacking deep learning (bar ilan) workshop videos,2019,2,19,12
4th large scale recommender systems workshop - deadline extended,2016,6,23,18
nips conversation ai workshop,2017,12,15,16
dialogue workshop recap,2016,12,16,13
learning methods for dialog workshop at nips this saturday,2016,12,3,21
nips dialogue workshop,2016,9,20,2
virtual workshop: conceptual understanding of deep learning (may 17th 9am-4pm pst),2021,4,28,5
lighton’s ai research workshop — form #4: the future of random matrices. thursday  december 19th,2019,12,18,12
videos: ima computational imaging workshop  october 14 - 18  2019,2019,11,1,11
kdd 2015 workshop on large-scale sports analytics,2015,4,9,17
nips 2014 workshop on personalization,2014,8,26,0
large-scale sports analytics workshop (kdd 2014),2014,5,22,15
