year,month,day,title,link
2021.0,6,10,"Thursday: CPI, Unemployment Claims, Q1 Flow of Funds",https://www.calculatedriskblog.com/2021/06/thursday-cpi-unemployment-claims-q1.html
2021.0,6,10,Comment on Guest post by cephalexin side effects,http://www.dataminingblog.com/guest-post/comment-page-421/#comment-311780
2021.0,6,10,All the passes in soccer visualized at once,https://flowingdata.com/2021/06/10/all-the-passes-in-soccer-visualized-at-once/
2021.0,6,10,Introducing a New “Freakonomics of Medicine” Podcast (Ep. 465),https://freakonomics.com/podcast/bapu-pilot/?utm_source=rss&utm_medium=rss&utm_campaign=bapu-pilot
2021.0,6,10,Changes in New Merchandise Adoption Across the 24-Month File,https://blog.minethatdata.com/2021/06/changes-in-new-merchandise-adoption.html
2021.0,6,9,Deandre Ayton Has Arrived,https://fivethirtyeight.com/features/deandre-ayton-has-arrived/
2021.0,6,9,Zack Wheeler Was Always The Next Big Thing. He’s Finally Put It All Together.,https://fivethirtyeight.com/features/zack-wheeler-was-always-the-next-big-thing-hes-finally-put-it-all-together/
2021.0,6,9,How Low Can America’s Birth Rate Go Before It’s A Problem?,https://fivethirtyeight.com/features/how-low-can-americas-birth-rate-go-before-its-a-problem/
2021.0,6,9,Why Most Candidates Don’t Run Again After Losing Twice,https://fivethirtyeight.com/features/why-most-candidates-dont-run-again-after-losing-twice/
2021.0,6,9,"SEVENTY48: Seventy miles, in 48 hours",https://blogs.sas.com/content/graphicallyspeaking/2021/06/09/seventy48-seventy-miles-in-48-hours/
2021.0,6,9,We need your vote! SAS Support Communities are on the 2021 Khoros Kudos awards ballot,https://blogs.sas.com/content/sgf/2021/06/09/sas-support-communities-are-on-the-2021-khoros-kudos-awards-ballot/
2021.0,6,9,Nutrition for depression and anxiety,https://blogs.sas.com/content/efs/2021/06/09/nutrition-for-depression-and-anxiety/
2021.0,6,9,"Forecasting 알고리즘, 미래를 변화시키다",https://blogs.sas.com/content/saskorea/2021/06/09/forecasting-%ec%95%8c%ea%b3%a0%eb%a6%ac%ec%a6%98-%eb%af%b8%eb%9e%98%eb%a5%bc-%eb%b3%80%ed%99%94%ec%8b%9c%ed%82%a4%eb%8b%a4/
2021.0,6,9,Rank-based scores and tied values,https://blogs.sas.com/content/iml/2021/06/09/rank-based-scores-tied.html
2021.0,6,9,The Advantages of SaaS for Data Security Strategies,https://www.smartdatacollective.com/advantages-of-saas-for-data-security-strategies/
2021.0,6,9,Fernando Tatís Jr.: An Appreciation,https://www.beyondtheboxscore.com/2021/6/9/22524482/fernando-tatis-jr-an-appreciation-san-diego-padres
2021.0,6,9,Spin Doctors: the teams that have added the most fastball spin,https://www.beyondtheboxscore.com/2021/6/9/22524269/mlb-spin-doctors-the-teams-that-have-added-the-most-fastball-spin-dodgers-padres-pirates
2021.0,6,9,Morning Mound Visit: Khris Davis designated for assignment,https://www.beyondtheboxscore.com/2021/6/9/22525604/mlb-news-khris-davis-designated-for-assignment
2021.0,6,9,"June 9th COVID-19 New Cases, Vaccinations, Hospitalizations",https://www.calculatedriskblog.com/2021/06/june-9th-covid-19-new-cases.html
2021.0,6,9,"Houston Real Estate in May: Sales Up 56% YoY, Inventory Down 41% YoY",https://www.calculatedriskblog.com/2021/06/houston-real-estate-in-may-sales-up-56.html
2021.0,6,9,Housing and Demographics: The Next Big Shift,https://www.calculatedriskblog.com/2021/06/housing-and-demographics-next-big-shift.html
2021.0,6,9,MBA: Mortgage Applications Decrease in Latest Weekly Survey,https://www.calculatedriskblog.com/2021/06/mba-mortgage-applications-decrease-in_01003846551.html
2021.0,6,9,Comment on List of Blogs by tadalafil generic uk,http://www.dataminingblog.com/list-of-blogs/comment-page-15/#comment-311779
2021.0,6,9,Comment on New to Data Mining ? by buy ed pills,http://www.dataminingblog.com/new-to-data-mining/comment-page-7/#comment-311778
2021.0,6,9,Comment on Books by compare ed drugs,http://www.dataminingblog.com/data-mining-books/comment-page-10/#comment-311777
2021.0,6,9,Comment on List of Blogs by top ed drugs,http://www.dataminingblog.com/list-of-blogs/comment-page-15/#comment-311776
2021.0,6,9,Comment on Guest post by mens erection pills,http://www.dataminingblog.com/guest-post/comment-page-421/#comment-311775
2021.0,6,9,Comment on List of Blogs by albuterol sulfate inhalation hfa,http://www.dataminingblog.com/list-of-blogs/comment-page-15/#comment-311774
2021.0,6,9,The F.D.A.’s controversial ruling on an Alzheimer’s drug (a letter from a reader)(i),https://errorstatistics.com/2021/06/08/the-f-d-a-s-controversial-ruling-on-its-alzheimers-drug-a-letter-from-a-reader/
2021.0,6,9,Billionaire tax rates,https://flowingdata.com/2021/06/09/billionaire-tax-rates/
2021.0,6,9,A Citizen Petition,https://junkcharts.typepad.com/numbersruleyourworld/2021/06/a-citizen-petition.html
2021.0,6,9,I'm guessing Dwyer had the complete set of Wacky Packages stickers,http://observationalepidemiology.blogspot.com/2021/06/im-guessing-dwyer-had-complete-set-of.html
2021.0,6,9,AzureR update: new in May/June,https://blog.revolutionanalytics.com/2021/06/mayjune-azurer-update.html
2021.0,6,9,inf R ! [book review],https://xianblog.wordpress.com/2021/06/10/inf-r/
2021.0,6,8,"With The Julio Jones Trade, Did Both Atlanta And Tennessee Get Better?",https://fivethirtyeight.com/features/with-the-julio-jones-trade-did-both-atlanta-and-tennessee-get-better/
2021.0,6,8,Why It’s So Hard To Poll People About The Death Penalty,https://fivethirtyeight.com/videos/why-its-so-hard-to-poll-people-about-the-death-penalty/
2021.0,6,8,Nobody Shuts Down The Paint Like The Jazz. But What If The Clippers Don’t Need To Go There?,https://fivethirtyeight.com/features/nobody-shuts-down-the-paint-like-the-jazz-but-what-if-the-clippers-dont-need-to-go-there/
2021.0,6,8,How Well Did Our Sports Predictions Hold Up During A Year Of Chaos?,https://fivethirtyeight.com/features/how-well-did-our-sports-predictions-hold-up-during-a-year-of-chaos/
2021.0,6,8,How FiveThirtyEight’s 2020 Forecasts Did And What We’ll Be Thinking About For 2022,https://fivethirtyeight.com/features/how-fivethirtyeights-2020-forecasts-did-and-what-well-be-thinking-about-for-2022/
2021.0,6,8,Follow Four Steps To Prepare Your Marketing Practice For Data Deprecation,https://go.forrester.com/blogs/consumer-data-deprecation/
2021.0,6,8,Rationalize Your Product Portfolio For Real Customer Focus,https://go.forrester.com/blogs/rationalize-your-product-portfolio-for-real-customer-focus/
2021.0,6,8,Code as Infrastructure,https://www.oreilly.com/radar/code-as-infrastructure/
2021.0,6,8,제조 산업을 위한 성공적인 디지털 트랜스포메이션 전략,https://blogs.sas.com/content/saskorea/2021/06/08/%ec%a0%9c%ec%a1%b0-%ec%82%b0%ec%97%85%ec%9d%84-%ec%9c%84%ed%95%9c-%ec%84%b1%ea%b3%b5%ec%a0%81%ec%9d%b8-%eb%94%94%ec%a7%80%ed%84%b8-%ed%8a%b8%eb%9e%9c%ec%8a%a4%ed%8f%ac%eb%a9%94%ec%9d%b4%ec%85%98/
2021.0,6,8,Cinco estrategias para prevenir crímenes financieros,https://blogs.sas.com/content/sasla/2021/06/08/cinco-estrategias-para-prevenir-crimenes-financieros/
2021.0,6,8,Looking for ways to combat kids' pandemic fatigue? Check out Math Stretch app,https://blogs.sas.com/content/sascom/2021/06/08/looking-for-ways-to-combat-kids-pandemic-fatigue-check-out-math-stretch-app/
2021.0,6,8,Everyone can code with SAS® CodeSnaps,https://blogs.sas.com/content/sascom/2021/06/08/everyone-can-code-with-sas-codesnaps/
2021.0,6,8,AI Leads to New Complications and Opportunities in PPC Marketing,https://www.smartdatacollective.com/ai-leads-to-new-complications-and-opportunities-in-ppc-marketing/
2021.0,6,8,"Providing MiLB players with housing sounds good, but the devil’s in the details, and it’s a terrible idea",https://www.beyondtheboxscore.com/2021/6/8/22463825/mlb-milb-housing-wages
2021.0,6,8,Morning Mound Visit: Jarred Kelenic optioned to Triple-A,https://www.beyondtheboxscore.com/2021/6/8/22523746/mlb-news-mariners-jarred-kelenic-optioned-to-triple-a-patrick-wisdom-brandon-crawford-cubs-sf-giants
2021.0,6,8,Grafana 8.0 integrates with Prometheus alerting,https://www.zdnet.com/article/grafana-8-0-integrates-with-prometheus-alerting/#ftag=RSSbaffb68
2021.0,6,8,"June 8th COVID-19 New Cases, Vaccinations, Hospitalizations",https://www.calculatedriskblog.com/2021/06/june-8th-covid-19-new-cases.html
2021.0,6,8,"North Texas Real Estate in May: Sales Up 30% YoY, Inventory Down 62% YoY",https://www.calculatedriskblog.com/2021/06/north-texas-real-estate-in-may-sales-up.html
2021.0,6,8,"New Hampshire Real Estate in May: Sales Up 12% YoY, Inventory Down 55% YoY",https://www.calculatedriskblog.com/2021/06/new-hampshire-real-estate-in-may-sales.html
2021.0,6,8,"Las Vegas Real Estate in May: Sales up 98% YoY, Inventory down 66% YoY",https://www.calculatedriskblog.com/2021/06/las-vegas-real-estate-in-may-sales-up.html
2021.0,6,8,BLS: Job Openings Increased to Record 9.3 Million in April,https://www.calculatedriskblog.com/2021/06/bls-job-openings-increased-to-record-93.html
2021.0,6,8,Trade Deficit Decreased to $68.9 Billion in April,https://www.calculatedriskblog.com/2021/06/trade-deficit-decreased-to-689-billion.html
2021.0,6,8,"Tuesday: Trade Balance, Job Openings",https://www.calculatedriskblog.com/2021/06/tuesday-trade-balance-job-openings.html
2021.0,6,8,Comment on List of Blogs by hydroxychloroquine buy from india,http://www.dataminingblog.com/list-of-blogs/comment-page-15/#comment-311773
2021.0,6,8,Seeing How Much We Ate Over the Years,https://flowingdata.com/2021/06/08/seeing-how-much-we-ate-over-the-years/
2021.0,6,8,They're Phoning It In!,https://blog.minethatdata.com/2021/06/theyre-phoning-it-in.html
2021.0,6,8,Adolescent trial showcases pre-registration and the Law of Small Numbers,https://junkcharts.typepad.com/numbersruleyourworld/2021/06/adolescent-trial-showcases-pre-registration-and-the-law-of-small-numbers.html
